Match,League,bookie_home,highest_odd_home,bookie_draw,highest_odd_draw,bookie_away,highest_odd_away,TotalBookies,average_odd_home,average_odd_draw,average_odd_away,Gametime,Time_scraped,url,std_home,std_draw,std_away,median_home,median_draw,median_away
Hyderabad - Chennaiyin,India:ISL 2022/2023,Pinnacle,1.63,Betfair,4.33,Pinnacle,5.11,16,1.59,4.01,4.7,2023-01-12 15:00:00,2023-01-12 11:04:50.145027,https://www.betexplorer.com/soccer/india/isl/hyderabad-chennaiyin-fc/GOKoHHpk/,0.0231523089942386,0.1685949723624117,0.2488089273979958,1.6,4.0,4.75
Hapoel Kfar Shalem - Ironi Modiin,Israel:Liga Alef South 2022/2023,188BET,1.38,Betfair Exchange,5.37,Betfair,8.5,8,1.31,4.95,6.74,2023-01-12 15:00:00,2023-01-12 11:04:59.054939,https://www.betexplorer.com/soccer/israel/liga-alef-south/hapoel-kfar-shalem-ironi-modiin/ADSUWvQL/,0.0489330608530106,0.1948717526990508,0.9411562038259113,1.32,5.0,7.0
Iraq - Yemen,Asia:Gulf Cup of Nations 2023,Betfair Exchange,1.14,Betfair Exchange,8.41,William Hill,29.0,16,1.1,7.3,20.9,2023-01-12 16:00:00,2023-01-12 11:05:25.687800,https://www.betexplorer.com/soccer/asia/gulf-cup-of-nations/iraq-yemen/CUYRODjS/,0.019926334924652,0.7960389068233227,4.393933652341199,1.11,7.5,21.0
Saudi Arabia - Oman,Asia:Gulf Cup of Nations 2023,Pinnacle,3.07,1xBet,2.94,ComeOn,2.75,17,2.84,2.78,2.6,2023-01-12 16:00:00,2023-01-12 11:05:35.638764,https://www.betexplorer.com/soccer/asia/gulf-cup-of-nations/saudi-arabia-oman/hOGfKXbq/,0.1036219088803135,0.0691811347967399,0.0956902170917112,2.85,2.8,2.6
Bahrain SC - Al-Muharraq,Bahrain:Bahrain Cup 2022/2023,BetVictor,6.5,Betway,4.0,1xBet,1.57,0,,,,2023-01-12 16:00:00,2023-01-12 11:05:44.391052,https://www.betexplorer.com/soccer/bahrain/bahrain-cup/bahrain-sc-al-muharraq/UqAycMjR/,0.4093409336970834,0.1277385723152675,0.0484325746343748,6.0,3.85,1.47
Ghazl El Mahallah - Enppi,Egypt:Premier League 2022/2023,Pinnacle,3.03,188BET,2.83,Pinnacle,2.88,17,2.82,2.71,2.71,2023-01-12 16:00:00,2023-01-12 11:06:07.506643,https://www.betexplorer.com/soccer/egypt/premier-league/ghazl-el-mahallah-enppi/KtuGHKXK/,0.0989020608837794,0.0778006502316695,0.1017927537002627,2.8,2.73,2.65
Great Olympics - Bibiani Gold Stars,Ghana:Premier League 2022/2023,1xBet,1.94,BetVictor,2.9,BetVictor,4.8,6,1.87,2.85,4.54,2023-01-12 16:00:00,2023-01-12 11:06:20.890202,https://www.betexplorer.com/soccer/ghana/premier-league/great-olympics-bibiani-gold-stars/bHBHrojI/,0.0504645089807347,0.0496990945591567,0.1956527536223294,1.865,2.84,4.5
Atlas U20 - Mazatlan U20,Mexico:Liga MX U20 2022/2023,Pinnacle,1.76,1xBet,3.8,BetVictor,4.4,11,1.64,3.7,4.23,2023-01-12 16:00:00,2023-01-12 11:06:36.739695,https://www.betexplorer.com/soccer/mexico/liga-mx-u20/atlas-mazatlan/dbdFfyji/,0.0582783290457407,0.1355795640272462,0.1602724952300699,1.63,3.75,4.25
Goias U20 - Porto Vitoria U20,Brazil:Copa Sao Paulo de juniores 2023,William Hill,1.67,Unibet,4.26,Unibet,7.0,12,1.58,3.76,4.76,2023-01-12 16:45:00,2023-01-12 11:06:59.041511,https://www.betexplorer.com/soccer/brazil/copa-sao-paulo-de-juniores/goias-porto-vitoria/pGb5xlJk/,0.0816264588713658,0.1828291966604762,0.7544333615169049,1.605,3.725,4.625
Gremio U20 - Picos U20,Brazil:Copa Sao Paulo de juniores 2023,Betfair,1.18,William Hill,7.5,1xBet,15.0,12,1.16,6.69,11.35,2023-01-12 16:45:00,2023-01-12 11:07:08.137133,https://www.betexplorer.com/soccer/brazil/copa-sao-paulo-de-juniores/gremio-picos/4bvLcbkb/,0.0223437334445795,0.4097523272624204,2.1163862854145763,1.16,6.625,11.5
Sport Recife U20 - Zumbi U20,Brazil:Copa Sao Paulo de juniores 2023,William Hill,1.4,Pinnacle,5.29,Pinnacle,10.5,11,1.29,4.74,8.17,2023-01-12 16:45:00,2023-01-12 11:07:15.277920,https://www.betexplorer.com/soccer/brazil/copa-sao-paulo-de-juniores/sport-recife-zumbi/vHWXfdZG/,0.0484298930976989,0.3166098832661707,1.2673343535296293,1.29,4.7,8.0
Esperance Tunis - Etoile Sahel,Tunisia:Ligue Professionnelle 1 2022/2023,Betfair,1.91,10Bet,3.0,Betfair Exchange,5.18,14,1.84,2.92,4.47,2023-01-12 17:00:00,2023-01-12 11:07:29.389389,https://www.betexplorer.com/soccer/tunisia/ligue-professionnelle-1/esperance-tunis-etoile-sahel/tfvWNdMD/,0.0456936766731687,0.0745720390695401,0.2600591648659381,1.85,2.9450000000000003,4.5
Al Ahly - Al Masry,Egypt:Premier League 2022/2023,188BET,1.61,Betsafe,4.0,Betfair Exchange,6.7,17,1.53,3.82,5.67,2023-01-12 18:00:00,2023-01-12 11:07:43.872215,https://www.betexplorer.com/soccer/egypt/premier-league/al-ahly-al-masry/bXwKGvmR/,0.039444674582777,0.1216099115542614,0.380283369576518,1.53,3.85,5.5
