Time_scraped,Gametime,Country,League,Unnamed: 4,Match,bookie_home,highest_odd_home,bookie_draw,highest_odd_draw,bookie_away,highest_odd_away,TotalBookies,average_odd_home,average_odd_draw,average_odd_away,std_home,std_draw,std_away,median_home,median_draw,median_away,url
2023-01-26 10:17:06.825760,2023-01-26 18:00:00,Spain,Liga F Women,,Sevilla FC W - Huelva W,Marsbet,1.73,BetInAsia,4.25,1xBet,4.38,18,1.68,3.79,4.14,0.0255796987404918,0.1914854215512675,0.1809687579612146,1.68,3.75,4.2,/soccer/spain/liga-f-women/sevilla-huelva-boeDLp3o/
2023-01-26 10:17:11.000196,2023-01-26 18:30:00,Brazil,Campeonato Paulista,,Sao Bento - Inter de Limeira,BetInAsia,2.5,10x10bet,3.04,10x10bet,3.37,30,2.37,2.87,3.14,0.0666074737214643,0.0949947366963033,0.1113532916242512,2.37,2.9,3.155,/soccer/brazil/campeonato-paulista/sao-bento-internacional-de-limeira-UgqG5x7a/
2023-01-26 10:17:15.291075,2023-01-26 18:30:00,World,Club Friendly,,Schonnebeck (Ger) - Arminia Klosterhardt (Ger) ,10x10bet,1.27,Unibet,7.25,BetVictor,15.0,16,1.21,6.5,8.46,0.0410791918128874,0.3448136951674047,1.7957222389264438,1.23,6.4,8.1,/soccer/world/club-friendly/schonnebeck-arminia-klosterhardt-lSwcYXVc/
2023-01-26 10:17:19.991537,2023-01-26 19:00:00,Iceland,Reykjavik Cup,,Leiknir - Fjolnir,10x10bet,3.06,ComeOn,3.9,10x10bet,2.21,14,2.96,3.62,2.05,0.0609114445866509,0.1632342126003776,0.0802324429265318,2.965,3.575,2.025,/soccer/iceland/reykjavik-cup/leiknir-reykjavik-fjolnir-4da5Ty0O/
2023-01-26 10:17:24.255175,2023-01-26 19:00:00,Israel,Liga Alef South,,Shimshon Tel Aviv - H. Marmorek,Dafabet,2.64,Betfair,3.3,GGBET,2.55,9,2.56,3.21,2.36,0.0547722557505166,0.0578204970278118,0.1079894827983805,2.56,3.2,2.38,/soccer/israel/liga-alef-south/shimshon-tel-aviv-hapoel-marmorek-nD67tkgm/
2023-01-26 10:17:28.202394,2023-01-26 19:00:00,Spain,Copa del Rey,,Valencia - Ath Bilbao,BetInAsia,2.91,GGBET,3.25,BetInAsia,2.76,30,2.78,3.1,2.69,0.0705541557166471,0.0746517842311146,0.0409661106552992,2.8,3.1,2.7,/soccer/spain/copa-del-rey/valencia-ath-bilbao-vaidcTdC/
2023-01-26 10:17:32.071275,2023-01-26 19:30:00,Brazil,Campeonato Catarinense,,Barra FC - Atletico Catarinense,Curebet,2.14,Unibet,3.1,10x10bet,4.3,23,2.01,2.87,3.89,0.0508602741422252,0.1022210806946115,0.1896898274125908,2.0,2.88,4.0,/soccer/brazil/campeonato-catarinense/barra-fc-santa-catarina-atletico-catarinense-Kftk5wbJ/
2023-01-26 10:17:36.434287,2023-01-26 19:30:00,Morocco,Botola Pro,,Union Touarga - Olympique Khouribga,10x10bet,2.19,BetInAsia,3.0,Curebet,4.33,28,2.11,2.81,3.77,0.0481851763978279,0.1074186925548997,0.292542295912846,2.135,2.8,3.75,/soccer/morocco/botola-pro/union-touarga-olympique-khouribga-MHRCr0Xq/
2023-01-26 10:17:42.087782,2023-01-26 19:45:00,England,Women's League Cup,,Arsenal W - Aston Villa W,Interwetten,1.15,10x10bet,9.7,10x10bet,21.0,11,1.11,7.87,16.2,0.0189823754707463,0.913376263293013,2.9931050242098776,1.11,7.9,17.0,/soccer/england/women-s-league-cup/arsenal-aston-villa-A3LM3990/
2023-01-26 10:17:46.594476,2023-01-26 20:00:00,Netherlands,Eredivisie,,Ajax - FC Volendam,10x10bet,1.15,Unibet,10.5,Betsafe,20.0,30,1.13,9.49,16.61,0.0154775823549917,0.4928551736790658,1.7525427875581876,1.13,9.5,17.0,/soccer/netherlands/eredivisie/ajax-fc-volendam-xKG1pnGj/
2023-01-26 10:17:50.747203,2023-01-26 20:00:00,Spain,Copa del Rey,,Real Madrid - Atl. Madrid,Marathonbet,2.0,Marathonbet,3.72,Marathonbet,4.25,30,1.92,3.55,4.05,0.0363318042491698,0.0940100467444245,0.1344457759346372,1.92,3.555,4.025,/soccer/spain/copa-del-rey/real-madrid-atl-madrid-QgdG2OYi/
2023-01-26 10:17:55.280680,2023-01-26 20:00:00,Spain,Liga F Women,,Granadilla Tenerife W - Real Sociedad W,BetInAsia,3.65,BetInAsia,3.78,BetInAsia,1.99,22,3.38,3.56,1.91,0.1351009723402194,0.1062548005721534,0.0381303766023194,3.39,3.54,1.9,/soccer/spain/liga-f-women/granadilla-tenerife-real-sociedad-tUjYGMHG/
2023-01-26 10:17:59.432643,2023-01-26 20:15:00,Portugal,Liga Portugal,,Pacos Ferreira - Benfica,BetInAsia,15.66,10x10bet,7.0,10x10bet,1.23,30,13.8,6.61,1.2,1.221188355660174,0.2295057491412554,0.0172691117959848,14.0,6.55,1.2,/soccer/portugal/liga-portugal/pacos-ferreira-benfica-S0ND457O/
2023-01-26 10:18:03.587912,2023-01-26 21:00:00,Colombia,Primera A,,Chico - Petrolera,Interwetten,1.95,GGBET,3.36,BetInAsia,5.18,30,1.89,3.04,4.53,0.0393559257150544,0.1089857279137451,0.37887684894523,1.9,3.025,4.5,/soccer/colombia/primera-a/chico-petrolera-4pkv9JRc/
2023-01-26 10:18:26.485520,2023-01-26 10:00:00,Azerbaijan,Premier League,,Shamakhi - Sabail,Curebet,3.19,GGBET,3.25,BetInAsia,2.56,27,2.79,3.08,2.41,0.1586499973952895,0.09429399781900946,0.08344108260394263,2.8,3.1,2.4,/soccer/azerbaijan/premier-league/shamakhi-sabail-vy1ord5O/
2023-01-26 10:18:30.455663,2023-01-26 11:00:00,India,I-League,,Aizawl - Mohammedan,10x10bet,2.95,1xBet,3.22,BetInAsia,2.6,29,2.74,3.1,2.43,0.08726113991825644,0.08945601221429554,0.06785660196649958,2.75,3.12,2.45,/soccer/india/i-league/aizawl-fc-mohammedan-QiNPRlW4/
2023-01-26 10:18:34.393950,2023-01-26 11:00:00,Iraq,Super League,,Al Naft - Al Sinaah,1xBet,1.8,1xBet,3.1,GGBET,5.4,8,1.76,3.03,4.8,0.03276335605520292,0.06164414002968982,0.2899973060219699,1.75,3.05,4.85,/soccer/iraq/super-league/al-naft-al-sinaa-2cvWsX7N/
2023-01-26 10:18:38.782383,2023-01-26 11:30:00,Indonesia,Liga 1,,Persib Bandung - Borneo,William Hill,1.95,Curebet,3.7,Curebet,5.5,25,1.71,3.42,4.47,0.08479056551291543,0.15680000000000002,0.42070417159804807,1.7,3.45,4.5,/soccer/indonesia/liga-1/persib-bandung-borneo-xvLbQyar/
2023-01-26 10:18:42.812577,2023-01-26 11:30:00,Iran,Persian Gulf Pro League,,Esteghlal F.C. - Malavan,10x10bet,2.18,NordicBet,3.4,10x10bet,6.2,28,2.03,2.5,5.06,0.11452875942178839,0.30451952787488495,0.6727407390970287,2.01,2.57,4.875,/soccer/iran/persian-gulf-pro-league/esteghlal-teh-malavan-hOxbzi1e/
2023-01-26 10:18:47.177327,2023-01-26 12:00:00,Albania,Superliga,,Egnatia - Kukesi,Marsbet,1.97,1xBet,3.08,Marsbet,4.5,14,1.94,2.95,4.07,0.026572964625340367,0.09387355803398097,0.21336110044634063,1.95,3.0,4.0,/soccer/albania/superliga/kf-egnatia-kukesi-Ot2EAWcO/
2023-01-26 10:18:51.223844,2023-01-26 12:00:00,Argentina,Reserve League,,River Plate 2 - Central Cordoba 2,10x10bet,1.99,Unibet,3.4,Unibet,4.45,20,1.85,3.24,3.88,0.06847627326307994,0.08217511788856764,0.17979085071271012,1.88,3.275,3.82,/soccer/argentina/reserve-league/river-plate-central-cordoba-santiago-del-estero-vNgyLO9E/
