Time_scraped,Gametime,Country,League,Match,bookie_home,highest_odd_home,bookie_draw,highest_odd_draw,bookie_away,highest_odd_away,TotalBookies,average_odd_home,average_odd_draw,average_odd_away,std_home,std_draw,std_away,median_home,median_draw,median_away,url
2023-01-17 15:53:54.267893,2023-01-17 20:45:00,England,National League,Dag & Red - Eastleigh,10x10bet,2.13,BetInAsia,3.71,Betfair,3.6,30,2.07,3.47,3.21,0.0456021441991005,0.1323417293726107,0.10584055093499,2.08,3.5,3.2,/soccer/england/national-league/dagenham-red-eastleigh-UJnAJgfe/
2023-01-17 15:53:57.920364,2023-01-17 20:45:00,England,National League,Torquay - Bromley,10x10bet,2.95,BetInAsia,3.86,Betsafe,2.35,28,2.82,3.86,2.27,0.0767981717469463,0.1330772945566997,0.0467011230909833,2.8,3.55,2.25,/soccer/england/national-league/torquay-bromley-pnX8veWK/
2023-01-17 15:54:01.651853,2023-01-17 20:45:00,England,National League,Wealdstone - Oldham,Marsbet,2.43,Marathonbet,3.45,10x10bet,3.12,30,2.33,3.37,2.92,0.0435494610248572,0.0923790500540511,0.158150420661962,2.35,3.3,2.8,/soccer/england/national-league/wealdstone-oldham-OxWCwFoR/
2023-01-17 15:54:05.280997,2023-01-17 20:45:00,England,National League North,AFC Fylde - Buxton,Unibet,1.36,10x10bet,5.4,10x10bet,9.1,27,1.31,4.85,8.09,0.0205346907787098,0.2398942382422683,0.5829676690477841,1.31,4.8,8.1,/soccer/england/national-league-north/afc-fylde-buxton-pAyve6Vb/
2023-01-17 15:54:09.221602,2023-01-17 20:45:00,England,National League North,Banbury - Curzon Ashton,GGBET,2.05,10x10bet,3.76,10x10bet,4.3,24,1.99,3.35,3.38,0.0792148975887742,0.1222354001734176,0.3035473146351688,1.905,3.45,3.6,/soccer/england/national-league-north/banbury-curzon-ashton-vgCI63UA/
2023-01-17 15:54:13.326737,2023-01-17 20:45:00,England,National League North,Farsley - Leamington,10x10bet,2.27,188BET,3.4,10x10bet,3.41,25,2.15,3.18,3.28,0.0612535713244542,0.0801498596380555,0.0816196054878973,2.15,3.2,3.2,/soccer/england/national-league-north/farsley-leamington-tKXbnZrd/
2023-01-17 15:54:17.111234,2023-01-17 20:45:00,England,National League North,Southport - Boston Utd,Betsafe,2.3,10x10bet,3.52,10x10bet,3.18,27,2.19,3.36,3.05,0.0602668960992026,0.1013218533674827,0.1051917055881982,2.2,3.3,3.0,/soccer/england/national-league-north/southport-boston-united-6LJBrZcR/
2023-01-17 15:54:20.911367,2023-01-17 20:45:00,England,National League North,AFC Telford - Kettering,10x10bet,1.82,Betway,3.6,10x10bet,4.6,27,1.76,3.41,4.27,0.025761382610784,0.0854777584400098,0.1943572996960245,1.76,3.4,4.32,/soccer/england/national-league-north/telford-kettering-bJbjyij1/
2023-01-17 15:54:24.883178,2023-01-17 20:45:00,England,National League North,Brackley Town - King’S Lynn,10x10bet,2.23,10x10bet,3.3,10x10bet,3.4,26,2.13,3.19,3.22,0.05258551783895,0.0810398397166588,0.1025474345430491,2.14,3.165,3.25,/soccer/england/national-league-north/brackley-king-s-lynn-QVZpcYCK/
2023-01-17 15:54:28.841899,2023-01-17 20:45:00,England,National League North,Peterborough Sports - Gloucester,Interwetten,2.15,10x10bet,3.51,10x10bet,3.57,27,2.01,3.37,3.39,0.0554913208898608,0.0834312182314449,0.1580809120670333,2.02,3.35,3.36,/soccer/england/national-league-north/peterborough-sports-gloucester-city-WWITlAK0/
2023-01-17 15:54:32.609414,2023-01-17 20:45:00,England,National League South,Taunton - Eastbourne Boro,Betsafe,2.7,Betfair,3.75,Betway,3.0,22,2.3,3.45,2.8,0.1905646242959534,0.1416315788665487,0.2104147812424052,2.33,3.275,2.75,/soccer/england/national-league-south/taunton-town-eastbourne-borough-rPsInHZ1/
